humedad,fecha
4095,2025-11-16 21:01:41.673
4095,2025-11-16 21:01:50.921
4095,2025-11-16 21:01:56.859
4095,2025-11-16 21:02:02.909
4095,2025-11-16 21:02:08.824
4095,2025-11-16 21:02:15.011
4095,2025-11-16 21:02:22.133
4095,2025-11-16 21:02:31.270
4095,2025-11-16 21:02:37.610
4095,2025-11-16 21:02:44.449
4095,2025-11-16 21:02:50.928
4095,2025-11-16 21:02:56.910
4095,2025-11-16 21:03:05.242
4095,2025-11-16 21:03:11.701
4095,2025-11-16 21:03:19.752
4095,2025-11-16 21:03:24.994
4095,2025-11-16 21:03:30.330
4095,2025-11-16 21:03:35.529
4095,2025-11-16 21:03:41.411
4095,2025-11-16 21:03:46.920
4095,2025-11-16 21:03:52.698
4095,2025-11-16 21:03:57.932
4095,2025-11-16 21:04:03.260
4095,2025-11-16 21:04:09.000
4095,2025-11-16 21:04:15.998
3905,2025-11-16 21:04:21.384
3728,2025-11-16 21:04:26.819
3642,2025-11-16 21:04:33.414
3683,2025-11-16 21:04:41.538
3695,2025-11-16 21:04:47.620
3696,2025-11-16 21:04:53.074
3664,2025-11-16 21:04:58.934
3664,2025-11-16 21:05:04.406
3664,2025-11-16 21:05:10.614
3649,2025-11-16 21:05:16.215
3687,2025-11-16 21:05:21.694
3706,2025-11-16 21:05:27.019
3648,2025-11-16 21:05:32.247
3726,2025-11-16 21:05:37.471
3669,2025-11-16 21:05:43.564
3650,2025-11-16 21:05:49.909
3600,2025-11-16 21:05:55.853
3600,2025-11-16 21:06:01.613
3632,2025-11-16 21:06:08.546
3617,2025-11-16 21:06:14.707
3647,2025-11-16 21:06:20.983
3663,2025-11-16 21:06:26.585
3660,2025-11-16 21:06:32.195
3665,2025-11-16 21:06:37.517
3706,2025-11-16 21:06:43.119
4095,2025-11-16 21:06:49.087
4095,2025-11-16 21:06:54.773
4095,2025-11-16 21:07:00.316
4095,2025-11-16 21:07:07.127
4095,2025-11-16 21:07:13.086
4095,2025-11-16 21:07:18.671
4095,2025-11-16 21:07:24.219
4095,2025-11-16 21:07:29.745
4095,2025-11-16 21:07:35.167
4095,2025-11-16 21:07:40.512
4095,2025-11-16 21:07:45.865
4095,2025-11-16 21:07:51.935
4095,2025-11-16 21:07:57.491
4095,2025-11-16 21:08:02.828
4095,2025-11-16 21:08:08.545
4095,2025-11-16 21:08:14.402
4095,2025-11-16 21:08:19.740
4095,2025-11-16 21:08:25.544
4095,2025-11-16 21:08:32.430
4095,2025-11-16 21:08:37.642
4095,2025-11-16 21:08:42.962
4095,2025-11-16 21:08:48.723
4095,2025-11-16 21:08:54.119
4095,2025-11-16 21:08:59.393
4095,2025-11-16 21:09:04.665
4095,2025-11-16 21:09:10.570
4095,2025-11-16 21:09:17.147
